Country,Innings Player,Country Image,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,Shabir Noori,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/2000px-Flag_of_Afghanistan.svg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,95,13,,,,9,,,
Afghanistan,Shafiqullah,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/2000px-Flag_of_Afghanistan.svg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,179,75,2,163,11,
Afghanistan,Shapoor Zadran,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/2000px-Flag_of_Afghanistan.svg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,,3,,20,17,2,0,7,
Afghanistan,Sharafuddin Ashraf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/2000px-Flag_of_Afghanistan.svg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,35,
Afghanistan,Usman Ghani,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/2000px-Flag_of_Afghanistan.svg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,92,,3,,
Afghanistan,Yamin Ahmadzai,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/2000px-Flag_of_Afghanistan.svg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,
Afghanistan,Zahir Khan,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/2000px-Flag_of_Afghanistan.svg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Zakiullah Zaki,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/2000px-Flag_of_Afghanistan.svg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
Australia,A Symonds,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,319,216,57,734,803,815,761,808,335,82,,,,,,,,,,
Australia,A Turner,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,A Zampa,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,6,33,11
Australia,AA Mallett,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AA Noffke,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AC Agar,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,9,130,
Australia,AC Dale,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,38,6,19,15,,,,,,,,,,,,,,,,,,,
Australia,AC Gilchrist,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,18,286,831,1241,726,746,836,1098,879,868,810,934,322,,,,,,,,,,,
Australia,AC Voges,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,151,145,80,,478,,,,,,
Australia,AG Hurst,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AIC Dodemaide,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,84,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AJ Bichel,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,42,57,,,,92,243,37,,,,,,,,,,,,,,,
Australia,AJ Finch,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514,790,561,655,405,493,1141
Australia,AJ Turner,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125
Australia,AJ Tye,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,
Australia,AJ Woodcock,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AK Zesers,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AL Thomson,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AM Stuart,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Australia,AMJ Hilditch,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,153,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AN Connolly,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AP Sheahan,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AR Border,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,200,219,454,346,428,438,830,595,642,212,533,540,329,212,221,325,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AT Carey,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,605
Australia,B Geeves,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,,,,,,,
Australia,B Laughlin,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Australia,B Lee,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,12,154,85,62,156,170,56,92,42,,60,219,,,,,,,
Australia,B Stanlake,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0
Australia,B Yardley,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,7,,,28,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,BA Reid,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,16,20,,,1,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
